trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,13,0.966741019995305,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-111.58352817356352,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-88.70432265498907,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-210.27845817781846,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-97.22943463570299,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,3,-208.01893151179732,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-116.54094747282421,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-154.57778511844955,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,6.282144395823551,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-87.81465466361234,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-26.162028203918084,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-159.87348334693993,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,7,-4.708528173733747,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-39.48792454118099,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-35.13119643727327,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-44.21991348703326,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,13,-26.092421545356686,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-16.240136865921304,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,4.538328176707413,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,17.266514786953895,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,28.436596458865722,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",35,15,-30.651283577159113,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,9,17.0701550234077,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-69.91440578767968,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,6,-42.260021096596184,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,8,-14.78360696990304,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,5,-49.95550637335269,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",30,8,-45.18764360836923,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,0,-17.440104352368166,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-29.879697820022,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
