trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.99}",20,8,-67.24458948653142,"{0: 5, 1: 1, 2: 5, 3: 1, 4: 0}",1
2,False,"{'a': 0.6, 'e': 0.9801}",25,4,-54.661784073519726,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.9702989999999999}",20,0,-102.35963146443508,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.96059601}",20,0,-114.0779663160006,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.9509900498999999}",30,0,-238.13168415607183,"{0: 17, 1: 2, 2: 5, 3: 2, 4: 4}",0
6,False,"{'a': 0.6, 'e': 0.9414801494009999}",20,0,-56.58059193758506,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.9320653479069899}",20,0,-95.90172067953348,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.92274469442792}",25,0,-157.08198440252232,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.9135172474836407}",25,0,-100.91429299737993,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.9043820750088043}",25,0,-100.90590246161995,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.8953382542587163}",35,0,-201.86719708826556,"{0: 19, 1: 3, 2: 10, 3: 0, 4: 3}",1
12,False,"{'a': 0.6, 'e': 0.8863848717161291}",20,0,-89.10368979263656,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.6, 'e': 0.8775210229989678}",20,0,-118.62324670491734,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.8687458127689781}",25,0,-133.55891856224895,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.6, 'e': 0.8600583546412883}",20,0,-52.027152641232135,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.8514577710948754}",20,0,-47.554744509652885,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.8429431933839266}",20,4,-12.67120095327036,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': 0.8345137614500874}",30,0,-130.76445412563345,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.8261686238355865}",20,0,-89.50386988721462,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.8179069375972307}",20,0,-78.0984766692606,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
21,False,"{'a': 0.6, 'e': 0.8097278682212583}",20,0,-49.59183217523823,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.6, 'e': 0.8016305895390458}",25,0,-153.61181691657424,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
23,False,"{'a': 0.6, 'e': 0.7936142836436553}",20,0,-107.1963612493441,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
24,False,"{'a': 0.6, 'e': 0.7856781408072188}",20,0,-108.86979513059266,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
25,False,"{'a': 0.6, 'e': 0.7778213593991465}",30,0,-200.63312782065884,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
26,False,"{'a': 0.6, 'e': 0.7700431458051551}",20,0,-51.809186839680216,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.6, 'e': 0.7623427143471035}",20,12,-37.17622101540415,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
